postseason,league,metro,rounds_won,appeared_in_championship,won_championship
1999,MLB,Phoenix,0,false,false
2001,MLB,Phoenix,3,true,true
2002,MLB,Phoenix,0,false,false
2007,MLB,Phoenix,1,false,false
2011,MLB,Phoenix,0,false,false
2017,MLB,Phoenix,1,false,false
