postseason,league,metro,rounds_won,appeared_in_championship,won_championship
2008,MLB,Tampa Bay,2,true,false
2010,MLB,Tampa Bay,0,false,false
2011,MLB,Tampa Bay,0,false,false
2013,MLB,Tampa Bay,1,false,false
2019,MLB,Tampa Bay,1,false,false
2020,MLB,Tampa Bay,3,true,false
2021,MLB,Tampa Bay,0,false,false
2022,MLB,Tampa Bay,0,false,false
