franchise_id,season_id,metro_id,team_name,league_id,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
158,326,52,San Jose Earthquakes,6,West,,,,,true,0,false,false
142,326,13,FC Dallas,6,West,,,LAST,,false,,,
150,331,5,New England Revolution,6,East,,,FIRST,,true,2,true,false
140,331,63,DC United,6,East,,,,,true,0,false,false
136,331,9,Chicago Fire,6,East,,,,,true,1,false,false
156,331,35,MetroStars,6,East,,,,,true,0,false,false
160,331,25,Kansas City Wizards,6,East,,,,,false,,,
139,331,12,Columbus Crew,6,East,,,LAST,,false,,,
158,331,52,San Jose Earthquakes,6,West,,FIRST,FIRST,,true,0,false,false
142,331,13,FC Dallas,6,West,,,,,true,0,false,false
138,331,15,Colorado Rapids,6,West,,,,,true,1,false,false
145,331,27,LA Galaxy,6,West,,,,,true,3,true,true
155,331,49,Real Salt Lake,6,West,,,,,false,,,
137,331,27,Chivas USA,6,West,,LAST,LAST,,false,,,
140,337,63,DC United,6,East,,FIRST,FIRST,,true,1,false,false
150,337,5,New England Revolution,6,East,,,,,true,2,true,false
136,337,9,Chicago Fire,6,East,,,,,true,0,false,false
156,337,35,New York Red Bulls,6,East,,,,,true,0,false,false
160,337,25,Kansas City Wizards,6,East,,,,,false,,,
139,337,12,Columbus Crew,6,East,,LAST,LAST,,false,,,
142,337,13,FC Dallas,6,West,,,FIRST,,true,0,false,false
143,337,22,Houston Dynamo,6,West,,,,,true,3,true,true
137,337,27,Chivas USA,6,West,,,,,true,0,false,false
138,337,15,Colorado Rapids,6,West,,,,,true,1,false,false
145,337,27,LA Galaxy,6,West,,,LAST_TIED,,false,,,
155,337,49,Real Salt Lake,6,West,,,LAST_TIED,,false,,,
140,343,63,DC United,6,East,,FIRST,FIRST,,true,0,false,false
150,343,5,New England Revolution,6,East,,,,,true,2,true,false
156,343,35,New York Red Bulls,6,East,,,,,true,0,false,false
136,343,9,Chicago Fire,6,East,,,,,true,1,false,false
160,343,25,Kansas City Wizards,6,East,,,,,true,1,false,false
139,343,12,Columbus Crew,6,East,,,,,false,,,
163,343,59,Toronto FC,6,East,,LAST,LAST,,false,,,
137,343,27,Chivas USA,6,West,,,FIRST,,true,0,false,false
143,343,22,Houston Dynamo,6,West,,,,,true,3,true,true
142,343,13,FC Dallas,6,West,,,,,true,0,false,false
138,343,15,Colorado Rapids,6,West,,,,,false,,,
145,343,27,LA Galaxy,6,West,,,,,false,,,
155,343,49,Real Salt Lake,6,West,,,LAST,,false,,,
139,349,12,Columbus Crew,6,East,,FIRST,FIRST,,true,3,true,true
136,349,9,Chicago Fire,6,East,,,,,true,1,false,false
150,349,5,New England Revolution,6,East,,,,,true,0,false,false
160,349,25,Kansas City Wizards,6,East,,,,,true,0,false,false
156,349,35,New York Red Bulls,6,East,,,,,true,2,true,false
140,349,63,DC United,6,East,,,,,false,,,
163,349,59,Toronto FC,6,East,,,LAST,,false,,,
143,349,22,Houston Dynamo,6,West,,,FIRST,,true,0,false,false
137,349,27,Chivas USA,6,West,,,,,true,0,false,false
155,349,49,Real Salt Lake,6,West,,,,,true,1,false,false
138,349,15,Colorado Rapids,6,West,,,,,false,,,
142,349,13,FC Dallas,6,West,,,,,false,,,
145,349,27,LA Galaxy,6,West,,LAST_TIED,LAST_TIED,,false,,,
158,349,52,San Jose Earthquakes,6,West,,LAST_TIED,LAST_TIED,,false,,,
139,355,12,Columbus Crew,6,East,,FIRST,FIRST,,true,0,false,false
136,355,9,Chicago Fire,6,East,,,,,true,1,false,false
150,355,5,New England Revolution,6,East,,,,,true,0,false,false
140,355,63,DC United,6,East,,,,,false,,,
163,355,59,Toronto FC,6,East,,,,,false,,,
160,355,25,Kansas City Wizards,6,East,,,,,false,,,
156,355,35,New York Red Bulls,6,East,,LAST,LAST,,false,,,
145,355,27,LA Galaxy,6,West,,,FIRST_TIED,,true,2,true,false
143,355,22,Houston Dynamo,6,West,,,FIRST_TIED,,true,1,false,false
159,355,53,Seattle Sounders,6,West,,,,,true,0,false,false
137,355,27,Chivas USA,6,West,,,,,true,0,false,false
155,355,49,Real Salt Lake,6,West,,,,,true,3,true,true
138,355,15,Colorado Rapids,6,West,,,,,false,,,
142,355,13,FC Dallas,6,West,,,,,false,,,
158,355,52,San Jose Earthquakes,6,West,,,LAST,,false,,,
156,361,35,New York Red Bulls,6,East,,,FIRST,,true,0,false,false
139,361,12,Columbus Crew,6,East,,,,,true,0,false,false
160,361,25,Kansas City Wizards,6,East,,,,,false,,,
136,361,9,Chicago Fire,6,East,,,,,false,,,
163,361,59,Toronto FC,6,East,,,,,false,,,
150,361,5,New England Revolution,6,East,,,,,false,,,
153,361,39,Philadelphia Union,6,East,,,,,false,,,
140,361,63,DC United,6,East,,LAST,LAST,,false,,,
145,361,27,LA Galaxy,6,West,,FIRST,FIRST,,true,1,false,false
155,361,49,Real Salt Lake,6,West,,,,,true,0,false,false
142,361,13,FC Dallas,6,West,,,,,true,2,true,false
159,361,53,Seattle Sounders,6,West,,,,,true,0,false,false
138,361,15,Colorado Rapids,6,West,,,,,true,3,true,true
158,361,52,San Jose Earthquakes,6,West,,,,,true,1,false,false
143,361,22,Houston Dynamo,6,West,,,,,false,,,
137,361,27,Chivas USA,6,West,,,LAST,,false,,,
160,367,25,Sporting KC,6,East,,,FIRST,,true,1,false,false
143,367,22,Houston Dynamo,6,East,,,,,true,2,true,false
153,367,39,Philadelphia Union,6,East,,,,,true,0,false,false
139,367,12,Columbus Crew,6,East,,,,,true,0,false,false
156,367,35,New York Red Bulls,6,East,,,,,true,1,false,false
136,367,9,Chicago Fire,6,East,,,,,false,,,
140,367,63,DC United,6,East,,,,,false,,,
163,367,59,Toronto FC,6,East,,,,,false,,,
150,367,5,New England Revolution,6,East,,LAST_TIED,LAST,,false,,,
145,367,27,LA Galaxy,6,West,,FIRST,FIRST,,true,3,true,true
159,367,53,Seattle Sounders,6,West,,,,,true,0,false,false
155,367,49,Real Salt Lake,6,West,,,,,true,1,false,false
142,367,13,FC Dallas,6,West,,,,,true,0,false,false
138,367,15,Colorado Rapids,6,West,,,,,true,1,false,false
154,367,42,Portland Timbers,6,West,,,,,false,,,
158,367,52,San Jose Earthquakes,6,West,,,,,false,,,
137,367,27,Chivas USA,6,West,,,,,false,,,
164,367,62,Vancouver Whitecaps,6,West,,LAST_TIED,LAST,,false,,,
160,373,25,Sporting KC,6,East,,,FIRST,,true,0,false,false
140,373,63,DC United,6,East,,,,,true,1,false,false
156,373,35,New York Red Bulls,6,East,,,,,true,0,false,false
136,373,9,Chicago Fire,6,East,,,,,true,0,false,false
143,373,22,Houston Dynamo,6,East,,,,,true,3,true,false
139,373,12,Columbus Crew,6,East,,,,,false,,,
134,373,32,Montreal Impact,6,East,,,,,false,,,
153,373,39,Philadelphia Union,6,East,,,,,false,,,
150,373,5,New England Revolution,6,East,,,,,false,,,
163,373,59,Toronto FC,6,East,,LAST,LAST,,false,,,
158,373,52,San Jose Earthquakes,6,West,,FIRST,FIRST,,true,0,false,false
155,373,49,Real Salt Lake,6,West,,,,,true,0,false,false
159,373,53,Seattle Sounders,6,West,,,,,true,1,false,false
145,373,27,LA Galaxy,6,West,,,,,true,4,true,true
164,373,62,Vancouver Whitecaps,6,West,,,,,true,0,false,false
142,373,13,FC Dallas,6,West,,,,,false,,,
138,373,15,Colorado Rapids,6,West,,,,,false,,,
154,373,42,Portland Timbers,6,West,,,,,false,,,
137,373,27,Chivas USA,6,West,,,LAST,,false,,,
156,379,35,New York Red Bulls,6,East,,FIRST,FIRST,,true,0,false,false
160,379,25,Sporting KC,6,East,,,,,true,3,true,true
150,379,5,New England Revolution,6,East,,,,,true,0,false,false
143,379,22,Houston Dynamo,6,East,,,,,true,2,false,false
134,379,32,Montreal Impact,6,East,,,,,true,0,false,false
136,379,9,Chicago Fire,6,East,,,,,false,,,
153,379,39,Philadelphia Union,6,East,,,,,false,,,
139,379,12,Columbus Crew,6,East,,,,,false,,,
163,379,59,Toronto FC,6,East,,,,,false,,,
140,379,63,DC United,6,East,,LAST,LAST,,false,,,
154,379,42,Portland Timbers,6,West,,,FIRST,,true,1,false,false
155,379,49,Real Salt Lake,6,West,,,,,true,2,true,false
145,379,27,LA Galaxy,6,West,,,,,true,0,false,false
159,379,53,Seattle Sounders,6,West,,,,,true,1,false,false
138,379,15,Colorado Rapids,6,West,,,,,true,0,false,false
158,379,52,San Jose Earthquakes,6,West,,,,,false,,,
164,379,62,Vancouver Whitecaps,6,West,,,,,false,,,
142,379,13,FC Dallas,6,West,,,,,false,,,
137,379,27,Chivas USA,6,West,,,LAST,,false,,,
140,385,63,DC United,6,East,,,FIRST,,true,0,false,false
150,385,5,New England Revolution,6,East,,,,,true,2,true,false
139,385,12,Columbus Crew,6,East,,,,,true,0,false,false
156,385,35,New York Red Bulls,6,East,,,,,true,2,false,false
160,385,25,Sporting KC,6,East,,,,,true,0,false,false
153,385,39,Philadelphia Union,6,East,,,,,false,,,
163,385,59,Toronto FC,6,East,,,,,false,,,
143,385,22,Houston Dynamo,6,East,,,,,false,,,
136,385,9,Chicago Fire,6,East,,,,,false,,,
134,385,32,Montreal Impact,6,East,,LAST,LAST,,false,,,
159,385,53,Seattle Sounders,6,West,,FIRST,FIRST,,true,1,false,false
145,385,27,LA Galaxy,6,West,,,,,true,3,true,true
155,385,49,Real Salt Lake,6,West,,,,,true,0,false,false
142,385,13,FC Dallas,6,West,,,,,true,1,false,false
164,385,62,Vancouver Whitecaps,6,West,,,,,true,0,false,false
154,385,42,Portland Timbers,6,West,,,,,false,,,
137,385,27,Chivas USA,6,West,,,,,false,,,
138,385,15,Colorado Rapids,6,West,,,,,false,,,
158,385,52,San Jose Earthquakes,6,West,,,LAST,,false,,,
156,391,35,New York Red Bulls,6,East,,FIRST_TIED,FIRST,,true,1,false,false
139,391,12,Columbus Crew,6,East,,,,,true,2,true,false
134,391,32,Montreal Impact,6,East,,,,,true,1,false,false
140,391,63,DC United,6,East,,,,,true,1,false,false
150,391,5,New England Revolution,6,East,,,,,true,0,false,false
163,391,59,Toronto FC,6,East,,,,,true,0,false,false
152,391,37,Orlando City SC,6,East,,,,,false,,,
151,391,35,NYCFC,6,East,,,,,false,,,
153,391,39,Philadelphia Union,6,East,,,,,false,,,
136,391,9,Chicago Fire,6,East,,LAST,LAST,,false,,,
142,391,13,FC Dallas,6,West,,FIRST_TIED,FIRST,,true,1,false,false
164,391,62,Vancouver Whitecaps,6,West,,,,,true,0,false,false
154,391,42,Portland Timbers,6,West,,,,,true,4,true,true
159,391,53,Seattle Sounders,6,West,,,,,true,1,false,false
145,391,27,LA Galaxy,6,West,,,,,true,0,false,false
160,391,25,Sporting KC,6,West,,,,,true,0,false,false
158,391,52,San Jose Earthquakes,6,West,,,,,false,,,
143,391,22,Houston Dynamo,6,West,,,,,false,,,
155,391,49,Real Salt Lake,6,West,,,,,false,,,
138,391,15,Colorado Rapids,6,West,,,LAST,,false,,,
156,397,35,New York Red Bulls,6,East,,,FIRST,,true,0,false,false
151,397,35,NYCFC,6,East,,,,,true,0,false,false
163,397,59,Toronto FC,6,East,,,,,true,3,true,false
140,397,63,DC United,6,East,,,,,true,0,false,false
134,397,32,Montreal Impact,6,East,,,,,true,2,false,false
153,397,39,Philadelphia Union,6,East,,,,,true,0,false,false
150,397,5,New England Revolution,6,East,,,,,false,,,
152,397,37,Orlando City SC,6,East,,,,,false,,,
139,397,12,Columbus Crew,6,East,,,,,false,,,
136,397,9,Chicago Fire,6,East,,LAST,LAST,,false,,,
