franchise_id,season_id,metro_id,team_name,league_id,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
45,394,52,Golden State Warriors,3,Western,Pacific,FIRST,FIRST,FIRST,true,3,true,false
50,394,27,Los Angeles Clippers,3,Western,Pacific,,,,true,0,false,false
65,394,48,Sacramento Kings,3,Western,Pacific,,,,false,,,
61,394,40,Phoenix Suns,3,Western,Pacific,,,,false,,,
51,394,27,Los Angeles Lakers,3,Western,Pacific,,LAST,LAST,false,,,
66,394,50,San Antonio Spurs,3,Western,Southwest,,,FIRST,true,1,false,false
41,394,13,Dallas Mavericks,3,Western,Southwest,,,,true,0,false,false
52,394,28,Memphis Grizzlies,3,Western,Southwest,,,,true,0,false,false
46,394,22,Houston Rockets,3,Western,Southwest,,,,true,0,false,false
56,394,34,New Orleans Pelicans,3,Western,Southwest,,,LAST,false,,,
34,400,5,Boston Celtics,3,Eastern,Atlantic,,FIRST,FIRST,true,2,false,false
70,400,59,Toronto Raptors,3,Eastern,Atlantic,,,,true,1,false,false
57,400,35,New York Knicks,3,Eastern,Atlantic,,,,false,,,
60,400,39,Philadelphia 76ers,3,Eastern,Atlantic,,,,false,,,
35,400,35,Brooklyn Nets,3,Eastern,Atlantic,LAST,LAST,LAST,false,,,
39,400,11,Cleveland Cavaliers,3,Eastern,Central,,,FIRST,true,3,true,false
54,400,30,Milwaukee Bucks,3,Eastern,Central,,,,true,0,false,false
47,400,23,Indiana Pacers,3,Eastern,Central,,,,true,0,false,false
37,400,9,Chicago Bulls,3,Eastern,Central,,,,true,0,false,false
44,400,16,Detroit Pistons,3,Eastern,Central,,,LAST,false,,,
73,400,63,Washington Wizards,3,Eastern,Southeast,,,FIRST,true,1,false,false
32,400,2,Atlanta Hawks,3,Eastern,Southeast,,,,true,0,false,false
53,400,29,Miami Heat,3,Eastern,Southeast,,,,false,,,
36,400,8,Charlotte Hornets,3,Eastern,Southeast,,,,false,,,
59,400,37,Orlando Magic,3,Eastern,Southeast,,,LAST,false,,,
71,400,49,Utah Jazz,3,Western,Northwest,,,FIRST,true,1,false,false
58,400,36,Oklahoma City Thunder,3,Western,Northwest,,,,true,0,false,false
63,400,42,Portland Trail Blazers,3,Western,Northwest,,,,true,0,false,false
43,400,15,Denver Nuggets,3,Western,Northwest,,,,false,,,
55,400,31,Minnesota Timberwolves,3,Western,Northwest,,,LAST,false,,,
45,400,52,Golden State Warriors,3,Western,Pacific,FIRST,FIRST,FIRST,true,4,true,true
50,400,27,Los Angeles Clippers,3,Western,Pacific,,,,true,0,false,false
