season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
2019,Cincinnati,FC Cincinnati,MLS,East,,LAST,LAST,,,,,
2020,Cincinnati,FC Cincinnati,MLS,East,,LAST,LAST,,,,,
2021,Cincinnati,FC Cincinnati,MLS,East,,LAST,LAST,,,,,
2022,Cincinnati,FC Cincinnati,MLS,East,,,,,true,1,,
2023,Cincinnati,FC Cincinnati,MLS,East,,FIRST,FIRST,,true,2,,
2024,Cincinnati,FC Cincinnati,MLS,East,,,,,true,0,,
